0,-inf
1,nan
2,inf
3,inf
4,inf
5,inf
6,inf
7,inf
8,inf
9,inf
10,inf
11,inf
12,inf
13,inf
14,inf
15,inf
16,inf
17,inf
18,inf
19,152.614
20,261.18
21,251.882
22,141.036
23,279.654
24,81.8953
25,51.2573
26,37.4145
27,22.6742
28,23.7967
29,16.806
30,10.5051
31,8.30444
32,7.98175
33,3.50998
34,3.81213
35,3.51698
36,2.41911
37,1.41888
38,1.42306
39,1.17208
40,0.374813
41,0.25942
42,0.253947
43,0.241585
44,0.0749311
45,0.0581607
46,0.0259157
47,-0
48,-0
49,-0
50,0.0367561
51,-0
52,0.0425224
53,-0
54,-0
55,-0
56,-0
57,0.101719
58,-0
59,-0
